Site,Logger NAD83 Zone 20V UTM Easting,Logger NAD83 Zone 20V UTM Northing,Date (DD/MM/YYYY),Time (HH:MM AM/PM),0.5 m underground temperature (°C),1.0 m underground temperature (°C),1.5 m underground temperature (°C),2.0 m underground temperature (°C),3.0 m underground temperature (°C),4.0 m underground temperature (°C),5.0 m underground temperature (°C),7.0 m underground temperature (°C),Comments
Site,Abscisse NAD83 UTM Zone 20V du capteur,Ordonnée NAD83 UTM Zone 20V du capteur,Date (JJ/MM/AAAA),Heure (HH:MM AM/PM),Température 0.5 m sous terre (°C),Température 1.0 m sous terre (°C),Température 1.5 m sous terre (°C),Température 2.0 m sous terre (°C),Température 3.0 m sous terre (°C),Température 4.0 m sous terre (°C),Température 5.0 m sous terre (°C),Température 7.0 m sous terre (°C),Commentaires
Ivitak Cove,457154,6540417,12/08/2010,5:00 PM,7.780859705,5.560735101,3.727091044,2.548330715,1.275023092,0.945724777,1.698721986,.,5 m temperature cable installed; 6 h logging interval
Ivitak Cove,457154,6540417,12/08/2010,11:00 PM,7.744900393,5.528179447,3.693225505,2.490842562,1.220832927,0.898384237,1.626317912,.,
Ivitak Cove,457154,6540417,13/08/2010,5:00 AM,7.692194311,5.524474171,3.696128788,2.494665192,1.211903178,0.888541113,1.5786769,.,
Ivitak Cove,457154,6540417,13/08/2010,11:00 AM,7.659527424,5.526137251,3.705264356,2.49972087,1.207227261,0.882199185,1.537229702,.,
Ivitak Cove,457154,6540417,13/08/2010,5:00 PM,7.730783462,5.527821522,3.714962194,2.507587771,1.206700226,0.876059947,1.49774706,.,
Ivitak Cove,457154,6540417,13/08/2010,11:00 PM,7.761237602,5.531316833,3.72364417,2.51826918,1.206530217,0.871962582,1.461164511,.,
Ivitak Cove,457154,6540417,14/08/2010,5:00 AM,7.724726307,5.535844791,3.733601271,2.52461904,1.207635298,0.868501372,1.426418088,.,
Ivitak Cove,457154,6540417,14/08/2010,11:00 AM,7.731534864,5.541258615,3.74354401,2.535418383,1.207924329,0.866210944,1.391456697,.,
Ivitak Cove,457154,6540417,14/08/2010,5:00 PM,7.822236751,5.544966973,3.755034353,2.544552414,1.210491787,0.862650429,1.358713731,.,
Ivitak Cove,457154,6540417,14/08/2010,11:00 PM,7.878310917,5.550994509,3.76396509,2.553726917,1.214233038,0.860711633,1.32655379,.,
Ivitak Cove,457154,6540417,15/08/2010,5:00 AM,7.857152632,5.558921561,3.773922791,2.563850952,1.21515145,0.858071156,1.297689322,.,
Ivitak Cove,457154,6540417,15/08/2010,11:00 AM,7.849687509,5.566893917,3.785720142,2.574271096,1.218485297,0.857469577,1.268865948,.,
Ivitak Cove,457154,6540417,15/08/2010,5:00 PM,8.008251183,5.57503825,3.796751394,2.582931358,1.222211011,0.855130271,1.242450717,.,
Ivitak Cove,457154,6540417,15/08/2010,11:00 PM,8.059736581,5.585191617,3.807092626,2.59447201,1.226533017,0.853927305,1.215032394,.,
Ivitak Cove,457154,6540417,16/08/2010,5:00 AM,8.057541008,5.5989205,3.818367701,2.605163002,1.230583608,0.851170776,1.190182064,.,
Ivitak Cove,457154,6540417,16/08/2010,11:00 AM,8.091670932,5.610248576,3.829745855,2.614073446,1.235213848,0.849784301,1.165905121,.,
Ivitak Cove,457154,6540417,16/08/2010,5:00 PM,8.247598774,5.625962007,3.83963922,2.625868968,1.240986107,0.849801005,1.142504588,.,
Ivitak Cove,457154,6540417,16/08/2010,11:00 PM,8.325459902,5.641243042,3.851339393,2.63593798,1.244119821,0.847462584,1.121247121,.,
Ivitak Cove,457154,6540417,17/08/2010,5:00 AM,8.337143205,5.661748799,3.862561653,2.64639536,1.249877583,0.848197487,1.100147238,.,
Ivitak Cove,457154,6540417,17/08/2010,11:00 AM,8.36140217,5.684078841,3.876040482,2.657661803,1.256966308,0.845441738,1.079407201,.,
Ivitak Cove,457154,6540417,17/08/2010,5:00 PM,8.472707319,5.703183942,3.885607179,2.668495926,1.261687821,0.844807134,1.060308651,.,
Ivitak Cove,457154,6540417,17/08/2010,11:00 PM,8.573168681,5.727005717,3.898246824,2.678933599,1.267433529,0.843120519,1.04250969,.,
Ivitak Cove,457154,6540417,18/08/2010,5:00 AM,8.574368244,5.749557097,3.912740697,2.690254787,1.273300267,0.843020329,1.024911697,.,
Ivitak Cove,457154,6540417,18/08/2010,11:00 AM,8.5784326,5.777120989,3.924152711,2.701856894,1.278776286,0.84108341,1.007025964,.,
Ivitak Cove,457154,6540417,18/08/2010,5:00 PM,8.704957748,5.802524147,3.938392746,2.712678108,1.285465521,0.840014844,0.992166885,.,
Ivitak Cove,457154,6540417,18/08/2010,11:00 PM,8.750593628,5.830160495,3.952779148,2.723816641,1.2925155,0.840014844,0.975889947,.,
Ivitak Cove,457154,6540417,19/08/2010,5:00 AM,8.775205713,5.857128496,3.966786045,2.735273015,1.299841201,0.83994806,0.96048263,.,
Ivitak Cove,457154,6540417,19/08/2010,11:00 AM,8.728330187,5.88490403,3.981797259,2.74642401,1.304658142,0.839129981,0.947705298,.,
Ivitak Cove,457154,6540417,19/08/2010,5:00 PM,8.83168445,5.912674908,3.99726853,2.759141451,1.312090777,0.839797798,0.934432797,.,
Ivitak Cove,457154,6540417,19/08/2010,11:00 PM,8.8277672,5.941257656,4.012263363,2.769350554,1.320380957,0.838946335,0.922409481,.,
Ivitak Cove,457154,6540417,20/08/2010,5:00 AM,8.799080364,5.968266964,4.028735362,2.78250513,1.326297263,0.838311934,0.909823669,.,
Ivitak Cove,457154,6540417,20/08/2010,11:00 AM,8.773648037,5.996648439,4.044007897,2.793461561,1.332386367,0.837577389,0.898367493,.,
Ivitak Cove,457154,6540417,20/08/2010,5:00 PM,8.844036192,6.022631557,4.061073604,2.806061444,1.339897643,0.838512269,0.88907667,.,
Ivitak Cove,457154,6540417,20/08/2010,11:00 PM,8.871594359,6.046876669,4.078467277,2.817859111,1.34789106,0.837794411,0.880358891,.,
Ivitak Cove,457154,6540417,21/08/2010,5:00 AM,8.838603472,6.070956273,4.096582017,2.829884724,1.353764038,0.839513973,0.869655043,.,
Ivitak Cove,457154,6540417,21/08/2010,11:00 AM,8.821694483,6.092184829,4.11587129,2.843355275,1.360683668,0.838061518,0.859942851,.,
